ProbeSet,FlyBase_ID,CT_ID,CG_ID,Symbol,"Cluster
{Aging_Girardot}","Cluster
{Body parts_Girardot}","Cluster
{Aging_Landis}","Cluster
{Aging_Pletcher}","Cluster
{SOMsexe_Parisi}",<Cs_Hd_40d/Cs_Hd_3d>
143759_at,FBgn0014454,CT22251,CG7216,Acp1,12,0,0,0,0,0.04
152049_at,FBgn0004181,CT9039,CG2668,Peb,11,12,8,0,9,0.07
153401_at,FBgn0031940,CT22249,CG7214,CG7214,12,0,0,0,4,0.07
143437_at,FBgn0004181,CT8959,CG2668,Peb,11,12,4,0,9,0.09
152362_at,FBgn0011559,CT22109,CG7157,Acp36DE,11,12,5,0,5,0.11
143275_at,FBgn0002863,CT41862,CG17924,Acp95EF,11,12,0,0,-1,0.11
152307_r_at,FBgn0043825,CT41482,CG18284,CG18284,11,12,5,0,-1,0.12
148877_at,FBgn0042201,CT32280,CG13061,Nplp3,12,2,5,2,0,0.12
141369_at,FBgn0039778,CT4209,CG18030,CG18030,12,12,5,0,0,0.12
143671_at,FBgn0011668,CT26012,CG9074,Mst57Da,11,12,0,0,3,0.12
143826_at,FBgn0015585,CT30385,CG10852,Acp63F,11,12,8,0,5,0.14
143825_at,FBgn0015584,CT25001,CG8622,Acp53Ea,11,12,8,0,0,0.14
147327_at,FBgn0034152,CT25017,CG8626,CG8626,11,12,8,0,5,0.14
143239_at,FBgn0002565,CT21107,CG6806,Lsp2,12,0,8,10,4,0.15
143672_at,FBgn0011669,CT16092,CG5016,Mst57Db,11,12,0,0,7,0.15
143673_at,FBgn0011670,CT15987,CG4986,Mst57Dc,11,12,5,0,5,0.16
146175_at,FBgn0032275,CT37982,CG17097,CG17097,11,12,5,0,5,0.16
150274_at,FBgn0038820,CT13265,CG4000,CG4000,12,6,5,2,0,0.16
142323_at,FBgn0046294,CT35734,CG12699,CG12699,11,12,0,0,5,0.17
145979_at,FBgn0031942,CT22221,CG7203,CG7203,12,0,5,0,4,0.17
144792_at,FBgn0030191,CT35280,CG15306,CG15306,11,12,0,0,5,0.17
152610_at,FBgn0040074,CT32276,CG13057,retinin,11,3,6,0,-1,0.17
147214_at,FBgn0033953,CT32001,CG12861,CG12861,11,12,4,0,5,0.17
143289_at,FBgn0003034,CT39049,CG17673,Acp70A,9,12,4,0,5,0.18
147328_at,FBgn0034153,CT35754,CG15616,CG15616,11,12,8,0,5,0.18
143930_at,FBgn0020509,CT2528,CG1262,Acp62F,11,12,5,0,5,0.18
145795_at,FBgn0031653,CT25448,CG8871,CG8871,9,12,5,5,4,0.19
143902_at,FBgn0019828,CT6205,CG1980,dj,11,12,4,0,5,0.19
151443_at,FBgn0045827,CT32496,CG13245,CG13245,11,12,4,0,3,0.20
152573_at,FBgn0038032,CT28425,CG10096,CG10096,9,12,8,12,-1,0.20
146174_s_at,FBgn0051872,CT37996,CG31872,CG31872,11,12,5,0,5,0.21
144287_at,FBgn0028883,CT15918,CG4959,CG4959,11,12,4,0,5,0.21
152399_at,FBgn0046297,CT26453,CG9284,CG9284,11,12,0,0,5,0.22
